State Overview,,,,,,,,,,,,,,,,,
State,Entity Type,ISO/Code,Capital,Revenue Divisions,Districts,Urban Local Bodies,Rural Governance Department,Urban Governance Department,Major Languages,Universal Emergency,Ambulance,Disaster Response,State Emergency Operation Centre,Area,Status,Last Verified,Source URL
Maharashtra,State,MH,Mumbai,6,36,29 municipal corporations; councils and nagar panchayats under DMA,Rural Development & Panchayat Raj Department,Urban Development Department / Directorate of Municipal Administration,"Marathi, Hindi, English",112,108,1070,+91-9321587143,"308,000 sq km (official SDMA overview)",Active,2026-07-13,https://sdma.maharashtra.gov.in/en/maharashtra/
